,text,link
115,RFP 2025-05-07,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFq6zAQAL9GPorVSm9lH3QIBMMrLT30C1ZaJRbYlpGdmP59oaXQ6zAMIwGJJXU5GO_84C300E0BogMbuUeDOSEBmpsMxJ5zTk6QuhKMBTIGqR-0cZ4M_gb80HurX_jJb1xmXdZbVQ5iESnrvepUl24O03Fsu7IXhaPC8TxP_VdQOOaFy_xa72VVdry1uih7jUUuc27HxyPuqZWYm56ORSHFIu_t_l-UvTqD3gD9U0jHKu2HgSML2HctbK1udedZJ15ZWDnglB6N0-f32DPgVwAAAP__g8FTNw__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4sWuh2zP$
116,"Questions and Answers to be posted May 22, 2025",https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMj8FqMyEUhZ_mzlL0atRZuAiEgf-npYs-wR2vJsKMBjNJ6NuXSSn0LD8-DudwQEschxSUM250Wno5XAJmeVDG2TGZ8aCiTzpnJOejS8ZnjEMJSkurFFo_it1U-FvgRu-0-E8PeqeyiFJzAyPnwlzquYnY1mEJl2273kAfASfA6fl8ir8C4JRWKstbO5cKesq9raBPxJwq39fjkvr2eZ9vsZc5dXHZVkA7F_7o538M-mQUOiXtAdBulfsPk8ZqiR72w_xCSu7BoYdrb9d2o0VEqsQERlKM907x67X3EfA7AAD__wDGWWg__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4lzMmvcD$
117,Questions and Answers Addendum,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMj8Fq8zAQhJ9mfRTSri3ZBx0CwfD_tPTQJ1hplURgS0FxYvr2JSmFzvFjGOYTj5Yldskb17vJkR51d_GJh3gaBkOIkYhM0EOYYhgniWFyLF32hrQ1Bu04KdM7a_B3wE2jI_WfH_zOeVG5nCr0OmSRXM5Vxbp2i79s2_UGdACcAed939XfAuCcVs7LWz3nAjSfWl2BjiySitzXw5La9nkPt9hySE1dthXQhiwf7fxPgI69QWe0HQDtVqT9MN1b0jjCU1heyOhnqGv-2uq13nhRkQsLQ685xnvj-PX6-_D4HQAA__93M1nb__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4hY7HwvY$
118,FACE TO FACE ACQUISITION PROVIDER,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH-NOYrjGI0HDwtLoKWlh_6C0cmHkMRgshv67wsLhV4fj8fjoC1xaoYAzjjvUHWqmQNaiOxcHDXb1HoG65VrGYyJHluTmhwAlQXQtvMSjLOg_wLOdw7lOz3pk_Ii8zYWYVTMzHmbikxlbZYwn-d-CLwJ3QvdX9cl_wtC98NKefkoU94E9mMtq8B7zHxbhnp-P-KRao5DlfO5Cm1j5q86vbHAuwHlENtWaHtuXF8MlFIKTFPDXsteDlpkoo2YhFGU0qNS-nl9PYP-DQAA___Uv1KD__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4tAAPt25$
119,CRC 25-09,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH-NOYrjGI0HDwtLoKWlh_6C0cmHkMRgshv67wsLhV4fj8fjoC1xaoYAzjjvUHWqmQNaiOxcHDXb1HoG65VrGYyJHluTmhwAlQXQtvMSjLOg_wLOdw7lOz3pk_Ii8zYWYVTMzHmbikxlbZYwn-d-CLwJ3QvdX9cl_wtC98NKefkoU94E9mMtq8B7zHxbhnp-P-KRao5DlfO5Cm1j5q86vbHAuwHlENtWaHtuXF8MlFIKTFPDXsteDlpkoo2YhFGU0qNS-nl9PYP-DQAA___Uv1KD__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4tAAPt25$
120,Ethics Consulting Services,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjktq7DAQAE8jL4XU6qfPQouBwfBCQhY5QUvtj8C2jOwZk9sHBgLZFkVRHMES526I2qELziivujlCQB8wUEDPiiGYPAAgKfT53-h16krURlmtwfogNTqr4TfggndGvtGTPqgssmxjFahSYS7bVGWua7fE-Tz3Q5ibgF5Af12X_CsI6IeVyvJep7IJ04-trsLcU-HbMrTz65GO3EoampzPVYBNhT_b9J-FuWutlAkKBNhz4_ZiqDBYA75rcW91rwctMtNGTAIV5fxolL9fY88IPwEAAP__8y9Smg__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4rt6mnSf$
121,CT250522,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjktq7DAQAE8jL4XU6qfPQouBwfBCQhY5QUvtj8C2jOwZk9sHBgLZFkVRHMES526I2qELziivujlCQB8wUEDPiiGYPAAgKfT53-h16krURlmtwfogNTqr4TfggndGvtGTPqgssmxjFahSYS7bVGWua7fE-Tz3Q5ibgF5Af12X_CsI6IeVyvJep7IJ04-trsLcU-HbMrTz65GO3EoampzPVYBNhT_b9J-FuWutlAkKBNhz4_ZiqDBYA75rcW91rwctMtNGTAIV5fxolL9fY88IPwEAAP__8y9Smg__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4rt6mnSf$
122,Subdivision Development Feasibility Study,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqxCAQQL_GHEUdM8aDh4Ul0NLSQ79gdMyukMRgshv694WWQq-Px-NxMEicuhy0s847UIPq7qFPmXrl-yHzFAF97FXuCQFMVFPm3JWgQaHWBgcvtXWozV_A-cGBfKUnvVOZZVmnKqyKhbmstypTXbo53I9j2wVchBmFGc_zlP8FYca8UJnf6q2sAsap1UXANRa-zLkdn4-4p1ZibvJ-LMJgLPzRbi8s4Gq1QgvohcFj5fbLlPWozNC1sLW61Z1mmWglJmEVpfRolL5-xp7BfAcAAP__9phTuw__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4sIAsl5x$
123,2025-04,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqxCAQQL_GHEUdM8aDh4Ul0NLSQ79gdMyukMRgshv694WWQq-Px-NxMEicuhy0s847UIPq7qFPmXrl-yHzFAF97FXuCQFMVFPm3JWgQaHWBgcvtXWozV_A-cGBfKUnvVOZZVmnKqyKhbmstypTXbo53I9j2wVchBmFGc_zlP8FYca8UJnf6q2sAsap1UXANRa-zLkdn4-4p1ZibvJ-LMJgLPzRbi8s4Gq1QgvohcFj5fbLlPWozNC1sLW61Z1mmWglJmEVpfRolL5-xp7BfAcAAP__9phTuw__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4sIAsl5x$
124,Group Insurance Consulting Services 2025-2030,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjs1q8zAQAJ9mfRSrXX2SfdAhEAxfaemhT7D6SSywLSM7MX37Qkuh12EYJnmykmKXvXbGDY6xx27yUVwwuRdLZJ0JQctwy6h7cUwc_uWueM1otSbbD0obZzX9BtzQO1Yv8pQ3KbMq662CwVBSKuu9qliXbvbTcWw78AVoBBrP81R_BaAxL1Lm13ovK_B4a3UBvoaSLnNux8cj7LGVkJuajgXIhpLe2_1_Ar5qjciWGMgea2o_DBGRXNf81upWd5lVlFWSgEGJ8dEkfn5_PT19BQAA__9G6FL6__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4lkXWMIb$
125,20071115,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjs1q8zAQAJ9mfRSrXX2SfdAhEAxfaemhT7D6SSywLSM7MX37Qkuh12EYJnmykmKXvXbGDY6xx27yUVwwuRdLZJ0JQctwy6h7cUwc_uWueM1otSbbD0obZzX9BtzQO1Yv8pQ3KbMq662CwVBSKuu9qliXbvbTcWw78AVoBBrP81R_BaAxL1Lm13ovK_B4a3UBvoaSLnNux8cj7LGVkJuajgXIhpLe2_1_Ar5qjciWGMgea2o_DBGRXNf81upWd5lVlFWSgEGJ8dEkfn5_PT19BQAA__9G6FL6__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4lkXWMIb$
126,Real Estate Master Plan (PDI) - Trois-Rivières Campus,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH-NOco4GjUHDwtLoKWlh_6C0cmHkMRgshv67wsLhV4fj8fjgJY4NUNQzrjOafDQzIHJ-wEMIBtvAUeDaDl2KqWWU2pjk4PSYJVC6zupjLMK_wKu807Ld3rSJ-VF5m0swkDMzHmbikxlbZYwn-d-CH0T2Avsr-uS_wWB_bBSXj7KlDeh-7GWVeh7zHxbhnp-P-KRao5DlfO5CrQx81ed3ljou1HojPZOoD03ri-mAAB029Sw17KXgxaZaCMmYYBSelRKP6-vZ8DfAAAA__9BdVMM__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4q3fRdkZ$
127,20070721,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH-NOco4GjUHDwtLoKWlh_6C0cmHkMRgshv67wsLhV4fj8fjgJY4NUNQzrjOafDQzIHJ-wEMIBtvAUeDaDl2KqWWU2pjk4PSYJVC6zupjLMK_wKu807Ld3rSJ-VF5m0swkDMzHmbikxlbZYwn-d-CH0T2Avsr-uS_wWB_bBSXj7KlDeh-7GWVeh7zHxbhnp-P-KRao5DlfO5CrQx81ed3ljou1HojPZOoD03ri-mAAB029Sw17KXgxaZaCMmYYBSelRKP6-vZ8DfAAAA__9BdVMM__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4q3fRdkZ$
128,,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxUzLEKwyAQANCv0VH0tJ4ODl0yFPoR55k0QqIhTQP9-0KhQ_fHKwk8FZZjMugwotVByzm5QGXMEeliNWBmg5HRTjQSONQxy5qM1d4Y8CEq49Ab-AUYA1p1o5PuVBdV29SF07mWUtujK-6rXNJ8HJuwVwGDgIHKWpv6E3va9r71Jy2KqVEh4TQxv3bi9xecCT4BAAD__zj3OFE__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4t2gQbcE$
129,Click here,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMzcFqxCAQgOGnMUfRMYnm4KFlyaG0pbBPMI5md4qJ4mY37NsXCoXef_4vehgxUpe8tr2drFFOdVc_uGAAVBjIhbhMvSY3OO1MCCbEgWLHXhs1ag2jm6Tu7ajhb2AnZ418wwd-IGfJ21JErwLHyNulSCprl_113-tNmBcBs4D5OA75PxAwpxU5v5cLb8LMSyurMKcTcn6-cvwsO1MSMJ_X873WzKl9tbJwTvL7Vrvmayu13DBLwg0jil4h0b0hPX_5h4efAAAA___78k4K__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4nGlGUVw$
130,Physical Demands Analysis (PDA) and Cognitive Demands Analysis (CDA) Development,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFq6zAQAL9GPorVSm9lH3QIBMMrLT30C1ZaJRbYlpGdmP59oaXQ6zAMIwGJJXU5GO_84C300E0BogMbuUeDOSEBmpsMxJ5zTk6QuhKMBTIGqR-0cZ4M_gb80HurX_jJb1xmXdZbVQ5iESnrvepUl24O03Fsu7IXhaPC8TxP_VdQOOaFy_xa72VVdry1uih7jUUuc27HxyPuqZWYm56ORSHFIu_t_l-UvTqD3gD9U0jHKu2HgSML2HctbK1udedZJ15ZWDnglB6N0-f32DPgVwAAAP__g8FTNw__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4sWuh2zP$
131,RFP 2025-05-07,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFq6zAQAL9GPorVSm9lH3QIBMMrLT30C1ZaJRbYlpGdmP59oaXQ6zAMIwGJJXU5GO_84C300E0BogMbuUeDOSEBmpsMxJ5zTk6QuhKMBTIGqR-0cZ4M_gb80HurX_jJb1xmXdZbVQ5iESnrvepUl24O03Fsu7IXhaPC8TxP_VdQOOaFy_xa72VVdry1uih7jUUuc27HxyPuqZWYm56ORSHFIu_t_l-UvTqD3gD9U0jHKu2HgSML2HctbK1udedZJ15ZWDnglB6N0-f32DPgVwAAAP__g8FTNw__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4sWuh2zP$
132,"Questions and Answers to be posted May 22, 2025",https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMj8FqMyEUhZ_mzlL0atRZuAiEgf-npYs-wR2vJsKMBjNJ6NuXSSn0LD8-DudwQEschxSUM250Wno5XAJmeVDG2TGZ8aCiTzpnJOejS8ZnjEMJSkurFFo_it1U-FvgRu-0-E8PeqeyiFJzAyPnwlzquYnY1mEJl2273kAfASfA6fl8ir8C4JRWKstbO5cKesq9raBPxJwq39fjkvr2eZ9vsZc5dXHZVkA7F_7o538M-mQUOiXtAdBulfsPk8ZqiR72w_xCSu7BoYdrb9d2o0VEqsQERlKM907x67X3EfA7AAD__wDGWWg__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4lzMmvcD$
133,Questions and Answers Addendum,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMj8Fq8zAQhJ9mfRTSri3ZBx0CwfD_tPTQJ1hplURgS0FxYvr2JSmFzvFjGOYTj5Yldskb17vJkR51d_GJh3gaBkOIkYhM0EOYYhgniWFyLF32hrQ1Bu04KdM7a_B3wE2jI_WfH_zOeVG5nCr0OmSRXM5Vxbp2i79s2_UGdACcAed939XfAuCcVs7LWz3nAjSfWl2BjiySitzXw5La9nkPt9hySE1dthXQhiwf7fxPgI69QWe0HQDtVqT9MN1b0jjCU1heyOhnqGv-2uq13nhRkQsLQ685xnvj-PX6-_D4HQAA__93M1nb__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4hY7HwvY$
134,FACE TO FACE ACQUISITION PROVIDER,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH-NOYrjGI0HDwtLoKWlh_6C0cmHkMRgshv67wsLhV4fj8fjoC1xaoYAzjjvUHWqmQNaiOxcHDXb1HoG65VrGYyJHluTmhwAlQXQtvMSjLOg_wLOdw7lOz3pk_Ii8zYWYVTMzHmbikxlbZYwn-d-CLwJ3QvdX9cl_wtC98NKefkoU94E9mMtq8B7zHxbhnp-P-KRao5DlfO5Cm1j5q86vbHAuwHlENtWaHtuXF8MlFIKTFPDXsteDlpkoo2YhFGU0qNS-nl9PYP-DQAA___Uv1KD__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4tAAPt25$
135,CRC 25-09,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH-NOYrjGI0HDwtLoKWlh_6C0cmHkMRgshv67wsLhV4fj8fjoC1xaoYAzjjvUHWqmQNaiOxcHDXb1HoG65VrGYyJHluTmhwAlQXQtvMSjLOg_wLOdw7lOz3pk_Ii8zYWYVTMzHmbikxlbZYwn-d-CLwJ3QvdX9cl_wtC98NKefkoU94E9mMtq8B7zHxbhnp-P-KRao5DlfO5Cm1j5q86vbHAuwHlENtWaHtuXF8MlFIKTFPDXsteDlpkoo2YhFGU0qNS-nl9PYP-DQAA___Uv1KD__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4tAAPt25$
136,Ethics Consulting Services,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjktq7DAQAE8jL4XU6qfPQouBwfBCQhY5QUvtj8C2jOwZk9sHBgLZFkVRHMES526I2qELziivujlCQB8wUEDPiiGYPAAgKfT53-h16krURlmtwfogNTqr4TfggndGvtGTPqgssmxjFahSYS7bVGWua7fE-Tz3Q5ibgF5Af12X_CsI6IeVyvJep7IJ04-trsLcU-HbMrTz65GO3EoampzPVYBNhT_b9J-FuWutlAkKBNhz4_ZiqDBYA75rcW91rwctMtNGTAIV5fxolL9fY88IPwEAAP__8y9Smg__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4rt6mnSf$
137,CT250522,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjktq7DAQAE8jL4XU6qfPQouBwfBCQhY5QUvtj8C2jOwZk9sHBgLZFkVRHMES526I2qELziivujlCQB8wUEDPiiGYPAAgKfT53-h16krURlmtwfogNTqr4TfggndGvtGTPqgssmxjFahSYS7bVGWua7fE-Tz3Q5ibgF5Af12X_CsI6IeVyvJep7IJ04-trsLcU-HbMrTz65GO3EoampzPVYBNhT_b9J-FuWutlAkKBNhz4_ZiqDBYA75rcW91rwctMtNGTAIV5fxolL9fY88IPwEAAP__8y9Smg__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4rt6mnSf$
138,Subdivision Development Feasibility Study,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqxCAQQL_GHEUdM8aDh4Ul0NLSQ79gdMyukMRgshv694WWQq-Px-NxMEicuhy0s847UIPq7qFPmXrl-yHzFAF97FXuCQFMVFPm3JWgQaHWBgcvtXWozV_A-cGBfKUnvVOZZVmnKqyKhbmstypTXbo53I9j2wVchBmFGc_zlP8FYca8UJnf6q2sAsap1UXANRa-zLkdn4-4p1ZibvJ-LMJgLPzRbi8s4Gq1QgvohcFj5fbLlPWozNC1sLW61Z1mmWglJmEVpfRolL5-xp7BfAcAAP__9phTuw__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4sIAsl5x$
139,2025-04,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjsFqxCAQQL_GHEUdM8aDh4Ul0NLSQ79gdMyukMRgshv694WWQq-Px-NxMEicuhy0s847UIPq7qFPmXrl-yHzFAF97FXuCQFMVFPm3JWgQaHWBgcvtXWozV_A-cGBfKUnvVOZZVmnKqyKhbmstypTXbo53I9j2wVchBmFGc_zlP8FYca8UJnf6q2sAsap1UXANRa-zLkdn4-4p1ZibvJ-LMJgLPzRbi8s4Gq1QgvohcFj5fbLlPWozNC1sLW61Z1mmWglJmEVpfRolL5-xp7BfAcAAP__9phTuw__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4sIAsl5x$
140,Group Insurance Consulting Services 2025-2030,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjs1q8zAQAJ9mfRSrXX2SfdAhEAxfaemhT7D6SSywLSM7MX37Qkuh12EYJnmykmKXvXbGDY6xx27yUVwwuRdLZJ0JQctwy6h7cUwc_uWueM1otSbbD0obZzX9BtzQO1Yv8pQ3KbMq662CwVBSKuu9qliXbvbTcWw78AVoBBrP81R_BaAxL1Lm13ovK_B4a3UBvoaSLnNux8cj7LGVkJuajgXIhpLe2_1_Ar5qjciWGMgea2o_DBGRXNf81upWd5lVlFWSgEGJ8dEkfn5_PT19BQAA__9G6FL6__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4lkXWMIb$
141,20071115,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjs1q8zAQAJ9mfRSrXX2SfdAhEAxfaemhT7D6SSywLSM7MX37Qkuh12EYJnmykmKXvXbGDY6xx27yUVwwuRdLZJ0JQctwy6h7cUwc_uWueM1otSbbD0obZzX9BtzQO1Yv8pQ3KbMq662CwVBSKuu9qliXbvbTcWw78AVoBBrP81R_BaAxL1Lm13ovK_B4a3UBvoaSLnNux8cj7LGVkJuajgXIhpLe2_1_Ar5qjciWGMgea2o_DBGRXNf81upWd5lVlFWSgEGJ8dEkfn5_PT19BQAA__9G6FL6__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4lkXWMIb$
142,Real Estate Master Plan (PDI) - Trois-Rivières Campus,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH-NOco4GjUHDwtLoKWlh_6C0cmHkMRgshv67wsLhV4fj8fjgJY4NUNQzrjOafDQzIHJ-wEMIBtvAUeDaDl2KqWWU2pjk4PSYJVC6zupjLMK_wKu807Ld3rSJ-VF5m0swkDMzHmbikxlbZYwn-d-CH0T2Avsr-uS_wWB_bBSXj7KlDeh-7GWVeh7zHxbhnp-P-KRao5DlfO5CrQx81ed3ljou1HojPZOoD03ri-mAAB029Sw17KXgxaZaCMmYYBSelRKP6-vZ8DfAAAA__9BdVMM__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4q3fRdkZ$
143,20070721,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxMjk1rxCAQQH-NOco4GjUHDwtLoKWlh_6C0cmHkMRgshv67wsLhV4fj8fjgJY4NUNQzrjOafDQzIHJ-wEMIBtvAUeDaDl2KqWWU2pjk4PSYJVC6zupjLMK_wKu807Ld3rSJ-VF5m0swkDMzHmbikxlbZYwn-d-CH0T2Avsr-uS_wWB_bBSXj7KlDeh-7GWVeh7zHxbhnp-P-KRao5DlfO5CrQx81ed3ljou1HojPZOoD03ri-mAAB029Sw17KXgxaZaCMmYYBSelRKP6-vZ8DfAAAA__9BdVMM__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4q3fRdkZ$
144,info@biddingo.com,mailto:info@biddingo.com
145,,https://urldefense.com/v3/__https://email.biddingo.com/c/eJw0zEFOxSAQANDTwJLADAW6YKExLEw8xDBQP7G_NLT-xtsbje5fXongqLCs0XjrZ486aHmLGQvUYicKSCaj55KZrfM58zRBMLJFg9oZAy7MyljvDPwHfg4e1Ss96I3aqtq2dGF1bqW07b0r7ne5xtt57ofAJwFJQLquSy3ENff-8QMEpOc_LzCNugh8Oc5R6S5H3Eff-0GrYtqokLCamD8H8dfv_YjwHQAA__9W20Er__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4kbPjsY9$
146,,https://urldefense.com/v3/__https://email.biddingo.com/c/eJw0zLGOhCAQgOGngZLADAIWFNdYXHIPMQ54knhikHOzb7_ZTaz_P1-K4CixzNF460ePOmi5RuAhoAZAvWTAHDw7oDzgjNbOlhZZokHtjAEXRmWsdwZuwI_Bo_qmi36obKrsSxVWzyWlsv9WxfVPbnHt_TgFfgmYBEz9UXrP7d0ETPcqWzxaPepJm2LaKZGwmpj_G_Hz41wRXgEAAP__F4A5zg__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4lhQQ8MZ$
147,,https://urldefense.com/v3/__https://email.biddingo.com/c/eJw0zM9qxCAQgPGn0aOoYx09eCiUUAq99dTbZIyNbBpDNn_Yty8p7PX74JeT9ZRZDsmgw4igg5ZjehkKuxgohAIIAXAwve5tyaa44CLJmgxob4z1ISrj0Bv7BDAGBPVBB31SnVSdSxNO9zXnOv80xe1XTmnctuUu4FXYTtjuPE_1aPu298P1r0IbjwK6Q8Dbe3F7vX2j_7rJNS1rW9qdJsU0UybhNDHvK_Hjnz6S_QsAAP__twk_5Q__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4utUxc3t$
148,,https://urldefense.com/v3/__https://email.biddingo.com/c/eJxUjD1OBSEQgE8DJYEZ5KegsKEw8RDzBvQReUDWdTd7e6OJhfX3UxI4KixrMt766FEHLe_pCblUewMXSaMGX9EiVDS2AoYQWLZkUDtjwIWojPXOwN_Ax-BRvdBBr9S6auNtCqtvrZQ23qfi-ZA93fd9CXwWkAXk8zxVb-OjljZ-uIDM87FoXALyv3BLa5trflJXTIMKCauJ-Wsjvn6FI8F3AAAA__8sBj_S__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4vgGPisu$
149,info@biddingo.com,mailto:info@biddingo.com
150,,https://urldefense.com/v3/__https://email.biddingo.com/c/eJw0zEFOxSAQANDTwJLADAW6YKExLEw8xDBQP7G_NLT-xtsbje5fXongqLCs0XjrZ486aHmLGQvUYicKSCaj55KZrfM58zRBMLJFg9oZAy7MyljvDPwHfg4e1Ss96I3aqtq2dGF1bqW07b0r7ne5xtt57ofAJwFJQLquSy3ENff-8QMEpOc_LzCNugh8Oc5R6S5H3Eff-0GrYtqokLCamD8H8dfv_YjwHQAA__9W20Er__;!!CKcPr9h30w!eo61RQ_DOtRr3SzmrGwDD00v5eHs6bVchOc2KCbCFbEHGoRJotphnhkZ_iTpB1t7ULAIRimqU4cYw3X6ihNu4kbPjsY9$
